Numero de Empleado ,Conocimiento del entorno empresarial,Practica lo que se predica,Enfoque a resultados,Conocimiento de si mismo,Cooperación proactiva,Iniciativa
10776271,3.6,3.6,3.6,3.6,3.3,3.7
11020004,3.3,4.8,3.6,3.8,3.8,3.8
10784820,3.8,3.8,3.6,3.7,4.3,4.3
10736630,3.8,3.8,3.8,3.3,2.8,3.8
10673451,2.6,3.8,2.6,2.8,3.1,1.6
10734188,4.8,4.8,4.8,4.8,4.8,4.8
10015232,4.8,4.8,4.6,4.6,4.8,4.7
10229557,4.3,4.8,3.8,3.8,4.3,2.8
10041350,4.6,4.8,4.8,3.6,4.8,3.8
10805354,4.3,4.8,4.8,4.8,4.8,4.8
10856685,4.8,4.8,3.6,4.2,4.1,3.6
10690779,3.8,4.8,4.8,4.8,4.8,4.3
10366477,4.6,4.8,4.8,4.8,4.6,4.8
10645741,4.8,4.8,4.8,4.6,4.6,4.6
1205086,4.8,4.8,4.6,4.8,4.8,3.7
10990155,4.7,3.8,3.8,3.8,4.8,4.3
10990152,4.6,4.7,4.6,4.5,4.6,4.6
1290277,4.3,4.8,3.8,4.3,3.3,3.8
10747127,4.8,4.8,4.8,4.8,4.8,4.8
10964871,4.2,4.8,4.8,4.1,3.8,4.6
10814009,4.2,4.8,4.8,4.8,4.8,4.8
11004894,4.2,4.7,3.6,3.8,4.8,3.6
10982374,4.8,4.8,4.8,4.6,4.8,4.7
10429301,4.8,4.8,4.6,3.3,4.6,3.6
10910314,3.3,4.8,3.8,3.7,4.8,3.3
10294489,4.8,4.8,4.8,4.3,4.8,4.8
10407216,4.8,4.3,3.8,4.3,4.3,4.3
10960991,4.1,4.8,3.6,3.5,4.6,3.4
10991465,3.3,4.8,3.8,3.8,3.8,3.8
1290268,3.3,4.8,3.8,3.7,3.8,3.8
10812867,4.3,4.8,3.8,4.7,4.8,3.8
10563362,4.3,4.8,3.8,4.8,4.8,4.8
10563362,3.8,4.8,3.8,4.8,4.8,4.8
10819550,3.6,4.7,3.6,4.1,4.8,3.6
32168920,3.7,4.8,3.8,3.8,4.8,3.8
10913922,4.8,4.8,3.8,4.8,4.8,4.8
10551678,3.6,4.8,4.8,4.1,4.8,4.3
10828175,4.8,4.8,4.8,4.8,4.8,4.6
11008456,3.3,3.8,3.6,3.7,3.8,3.8
1202574,4.2,4.8,3.6,4.7,4.7,3.6
10837456,3.8,4.8,4.8,4.7,4.8,4.8
10847717,3.8,4.8,3.8,4.1,4.8,3.6
10991459,2.6,2.8,3.8,3.8,3.8,3.6
10784307,3.7,4.3,3.6,4.3,4.1,3
10826823,3.8,4.8,3.6,4.6,4.6,3.6
10375214,4.7,4.8,4.8,3.7,4.6,4.6
10819552,4.7,3.8,4.8,4.2,4.1,4.3
10501873,3.6,3.8,4.8,3.8,3.8,3.8
10750884,3.6,4.8,3.6,4,4.6,3.5
10496029,4.3,4.8,4.8,4.8,4.8,3.7
10973762,4.8,4.8,4.8,4.8,4.8,4.8
1203873,3.1,4.8,3.6,3.8,3.8,3.6
10964873,4.7,4.8,4.8,4.8,4.8,4.8
10467214,4.8,4.8,4.8,4.3,4.8,4.3
10323238,3.6,4.8,3.8,3.6,4.2,3.6
76745,3.8,4.8,3.8,3.7,3.8,3.2
10758456,4.7,4.8,4.6,4.8,4.8,4.6
11030735,3.1,4.8,3.6,4.1,3.8,3.6
11033665,3.8,4.8,3.8,4.3,4.8,4.3
1203948,4.2,4.8,3.8,4.3,4.8,3.8
10864563,3.8,4.3,3.6,3.6,3.6,2.6
10723296,4.7,4.8,4.8,4.8,4.7,3.3
11001785,4.8,4.8,3.6,3.8,4.8,3.8
10400727,2.8,4.8,2.8,3.8,3.7,3.3
10191547,4.8,4.8,4.6,4.6,4.7,4.6
10937964,3.8,4.8,3.8,3.8,3.8,3.3
10847674,3.3,2.8,3.8,2.8,3.8,2.8
11004907,4.8,4.8,4.8,4.8,4.8,4.8
10484844,4.3,4.7,3.8,4.8,4.8,4.2
10906512,3.8,4.3,3.8,3.8,3.8,3.8
10961000,3.8,4.3,3.8,3.8,3.3,3.1
11009861,3.7,4.8,3.8,3.7,4.2,4.3
10859164,3.7,4.8,3.8,3.7,4.7,3.8
10723966,4.7,4.8,4.8,4.8,4.3,4.3
10917721,4.7,4.8,4.8,4.7,4.8,4.8
10761870,4.8,4.8,3.6,4.2,3.8,3.6
10247571,2.8,2.8,2.8,2.7,2.6,2.8
10371931,3.8,4.8,3.8,3.8,3.6,3.8
10568521,3.8,4.3,3.8,3.8,3.8,3.8
10937962,3.7,4.3,3.6,3.6,3.7,3.6
10826378,4.3,4.8,3.8,3.8,3.3,3.8
11004904,4.2,3.8,3.6,3.8,3.8,3.6
10921718,4.7,4.8,3.8,3.6,3.7,4.7
10850975,3.7,4.8,3.6,3.8,3.3,3.8
10502564,3.8,4.8,3.8,3.8,3.8,3.8
10850043,4.1,4.8,3.6,3.6,3.5,3.4
10354284,4.8,4.8,4.8,4.3,3.8,4.8
10844841,4.7,4.8,4.8,4.2,4.6,4.6
10820269,4.7,4.8,3.8,4.7,4.8,4.3
10370804,4.1,4.8,4.8,4.8,4.3,4.8
10765323,4.8,4.8,4.8,4.8,3.8,3.8
10391359,3.8,4.8,3.6,3.7,4.8,3.7
10800355,3.7,4.3,3.8,3.8,3.7,3.7
10859104,4.5,4.6,4.6,3.9,4.6,3.6
10903322,3.7,4.7,3.6,3.6,4.1,2.6
10880035,4.8,4.8,4.8,4.8,4.8,4.8
10844874,4.8,4.8,4.8,4.8,4.8,3.8
10015304,4.3,4.8,3.8,4.8,3.3,2.8
10968939,4.1,4.8,4.6,4.6,4.8,3.5
10830501,4.8,4.8,4.8,4.8,4.8,4.8
10779222,4.8,4.8,4.8,4.2,4.8,3.1
10933834,4.8,4.8,4.8,4.8,4.8,4.8
10684150,4.8,4.8,4.6,4.8,4.6,3.6
10883213,4.8,4.8,4.8,4.8,4.8,4.7
10883213,4.8,4.8,4.8,4.8,4.8,3.8
10714861,4.2,4.8,3.8,3.7,3.8,3.8
10913930,3.7,4.8,3.6,4.6,4.3,3.6
1203766,3.8,4.8,3.6,3.7,3.6,3.1
10563359,4.3,4.8,3.8,4.8,3.8,3.8
10461335,3.8,4.8,4.8,3.8,4.8,3.6
10533038,4.6,4.8,4.6,4.5,4.4,4.4
10958213,4.8,4.8,4.6,4.8,4.8,4.1
11030457,4.8,4.8,4.8,4.8,4.8,4.8
10823617,4.2,4.8,3.6,3.8,3.8,3.8
11021511,4.3,4.8,4.6,3.8,4.7,3.8
10819885,4.7,4.8,4.8,4.8,4.8,4.8
10844849,4.1,4.7,4.8,4.1,4.7,4.6
10729489,4.8,4.8,4.8,4.8,4.8,4.8
10973761,2.8,4.8,2.8,3.7,3.8,3.7
10801745,4.3,4.8,3.6,3.8,3.8,3.7
1201031,4.8,4.8,3.8,3.8,4.8,3.8
10903331,4.6,3.8,3.6,3.6,2.5,3.5
10241599,4.8,4.8,3.6,3.6,3.8,3.8
10424596,4.3,4.8,3.8,3.8,3.8,3.8
10906526,3.7,4.8,2.8,3.3,3.3,2.7
1290347,4.8,4.8,3.8,4.8,4.8,3.8
10850947,4.1,4.8,4.6,2.8,3.1,3.1
11011348,2.6,4.3,2.6,3.1,3.7,2.6
10956610,3.7,3.8,3.6,3.7,3.8,2.8
10837782,4.6,4.8,4.8,4.3,4.6,3.8
10776367,4.3,4.8,4.8,4.6,4.6,4.1
10723296,3.3,3.8,3.8,3.7,3.8,3.3
1200778,4.8,4.8,4.6,3.7,4.8,3.8
10230050,3.3,3.8,3.8,3.8,3.3,2.8
1202613,3.2,3.8,3.6,2.6,3.6,2.4
10981648,3.6,4.8,3.8,3.3,3.3,2.7
10224708,4.8,4.8,4.6,4.6,4.8,4.5
10974370,4.8,4.8,3.8,4.8,3.6,3.8
11014959,4.8,4.8,4.8,4.8,4.8,4.8
10640917,4.3,4.8,3.6,3.7,4.8,4.3
10840988,4.8,4.8,4.6,4.8,4.8,4.6
10040799,4.8,4.8,3.8,4.8,3.8,3.8
10043154,4.8,4.8,4.8,3.7,3.6,3.8
10137051,3.8,4.8,3.6,3.6,3.6,3.6
10740405,4.2,4.8,4.8,4.8,4.8,4.8
10663977,4.6,4.8,3.8,4.1,3.8,3.5
10860278,4.7,4.8,3.8,4.7,4.8,4.3
10837791,3.8,3.8,2.8,3.8,3.3,2.8
10882886,3.3,2.8,3.6,3.6,2.7,3.6
10449523,3.8,4.8,3.8,3.8,4.8,3.8
10776366,3.6,4.8,2.6,3.1,4.1,2.8
11030535,4.8,4.8,3.8,4.8,4.8,3.3
10693186,3.8,3.8,3.8,3.8,3.8,3.7
1202626,4.8,4.8,4.6,4.2,4.8,4.2
10789222,3.6,3.6,2.6,3.6,3.6,3.6
10871741,4.8,4.8,3.8,4.7,4.6,3.6
10252867,4.6,4.8,4.8,4.3,3.8,4.6
10731219,4.8,4.8,4.8,4.8,4.8,4.3
1290265,4.7,4.8,3.8,4.1,4.8,4.3
10906517,4.8,4.8,3.6,3.7,3.8,3.6
11011967,4.3,4.8,4.8,4.8,4.7,4.8
1200815,4.8,4.8,3.8,4.8,4.8,3.8
10446128,3.8,4.8,4.8,4.3,4.3,3.8
10759376,2.8,2.7,2.8,3.2,2.8,2.8
10462066,4.8,4.8,4.8,4.3,4.8,4.3
1201232,4.8,4.8,3.8,4.3,4.8,3.8
10933832,3.8,3.8,4.8,3.8,3.3,3.8
